SessionId	ItemId
0	28
0	62
0	27
0	51
0	65
1	469
1	139
2	7
2	189
3	65
3	242
3	27
3	62
3	139
3	24
3	66
4	92
4	491
4	46
4	71
4	106
4	49
4	404
4	166
4	41
4	26
5	69
5	83
6	216
6	404
6	178
6	580
7	62
7	27
7	99
7	76
7	28
7	72
8	35
8	31
8	82
9	163
9	99
9	66
9	272
10	83
10	69
11	62
11	35
12	139
12	62
12	99
12	355
13	99
13	187
13	57
13	20
13	27
14	484
14	151
14	367
14	49
14	139
14	118
14	357
14	186
14	7
15	152
15	122
16	66
16	103
17	57
17	99
18	152
18	357
19	554
19	559
19	555
19	551
19	79
20	216
20	651
20	49
21	135
21	23
22	7
22	151
23	142
23	6
24	163
24	139
25	151
25	22
26	62
26	66
27	16
27	4
28	62
28	95
29	476
29	79
30	119
30	7
30	155
31	155
31	250
31	95
31	171
31	356
31	478
32	687
32	685
33	82
33	27
34	486
34	659
35	29
35	79
35	27
35	49
35	216
35	41
36	65
36	57
36	66
37	66
37	29
37	204
37	416
38	66
38	101
38	27
38	62
38	99
38	82
39	683
39	476
39	601
40	163
40	57
41	13
41	95
41	9
41	90
42	99
42	211
43	274
43	377
43	171
44	158
44	171
45	481
45	255
46	119
46	142
47	216
47	178
47	243
48	66
48	62
48	65
48	600
48	400
48	82
49	281
49	161
49	189
49	97
49	168
49	77
49	285
49	234
49	215
49	286
49	120
50	82
50	233
50	364
51	9
51	139
52	457
52	27
52	57
52	513
52	400
52	558
52	62
52	462
52	28
52	76
52	393
52	66
52	105
52	103
52	163
53	99
53	1
54	62
54	57
55	404
55	155
55	483
55	621
55	49
56	27
56	216
57	139
57	40
57	204
57	119
57	336
57	4
57	128
57	258
57	352
57	120
57	9
57	215
57	168
57	127
58	151
58	120
59	233
59	195
59	131
60	370
60	180
61	566
61	567
62	62
62	28
62	48
62	27
63	27
63	42
64	97
64	100
64	106
64	9
64	71
64	45
64	78
64	96
64	94
64	34
64	26
64	92
64	35
64	21
64	81
64	75
64	69
64	19
64	93
64	16
64	63
64	55
65	142
65	48
65	139
65	134
66	62
66	49
66	39
66	82
66	51
66	187
66	34
